ASCII Trace IXXAT MiniMon V3  Version: 1.1.2.4072
Date: 20.03.2023
Start time: 13:18:53
Stop time: 14:07:20
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:08:46.623";"103C940";"Ext";"2";"12 BF 08"
"00:27:31.446";"771";"Ext";"1";"15 08 00 00 00 00 00 00"
"00:46:39.908";"771";"Ext";"";"04 01 00 00 00 00 00 00"
"00:00:51.732";"862828F";"Ext";"";"02"
"00:00:51.738";"89D868B";"Ext";"";""
"00:46:39.908";"771";"Ext";"";"F1 02 00 00 00 00 00 00"
"00:00:51.739";"109B058D";"Ext";"";"00 00 00 00 00"
"00:00:51.739";"8CB868B";"Ext";"";""
"00:00:51.740";"1042C681";"Ext";"";"00 00 00 00"
"00:00:51.740";"840468A";"Ext";"";""
"00:00:51.741";"10CC458F";"Ext";"";"06 00"
"00:46:39.908";"771";"Ext";"";"02 01 00 00 00 00 00 00"
"00:46:39.908";"771";"Ext";"";"03 E1 00 00 00 00 00 00"
"00:00:51.741";"106AC58D";"Ext";"";""
"00:00:51.742";"8CB868B";"Ext";"";""
"00:00:51.743";"108C050D";"Ext";"";""
"00:00:51.743";"10CC458F";"Ext";"";"06 00"
"00:27:34.561";"103C940";"Ext";"1";"12 E3 08"
"00:27:34.555";"771";"Ext";"1";"96 07 00 00 00 00 00 00"
"00:00:51.744";"106AC58D";"Ext";"";""
"00:46:39.908";"771";"Ext";"";"04 01 00 00 00 00 00 00"
"00:00:51.764";"8648583";"Ext";"";""
"00:00:51.764";"876018B";"Ext";"";"BC FF 01 00 E8 00 E5 00"
"00:00:51.768";"10B4850B";"Ext";"";"01 00 00"
"00:00:51.783";"8404606";"Ext";"";""
"00:00:51.784";"1089C30C";"Ext";"";"01 01 0F 00 00"
"00:00:51.787";"108C450D";"Ext";"";""
"00:00:51.789";"108C868F";"Ext";"";"02 02 D0 0E FD FF"
"00:00:51.803";"8404609";"Ext";"";""
"00:00:51.805";"1089C48C";"Ext";"";"01 01 0F 00 00"
"00:00:51.831";"862828F";"Ext";"";"02"
"00:00:51.834";"11778681";"Ext";"";"02 00 05"
"00:00:51.843";"8648583";"Ext";"";""
"00:46:39.908";"771";"Ext";"";"05 01 00 00 00 00 00 00"
"00:00:51.843";"8644583";"Ext";"";"1D"
"00:00:51.843";"8644583";"Ext";"";"1E"
"00:00:51.844";"876018B";"Ext";"";"BC FF 01 00 E8 00 E5 00"
"00:00:51.863";"10B4850B";"Ext";"";"01 00 00"
"00:27:35.295";"904201F";"Ext";"1";"00"
"00:27:35.296";"904A01F";"Ext";"1";"05 F8 04 96 01 08 02"
"00:08:47.356";"888";"Ext";"2";"13 08 9B 01 13 02 05 00"
"00:27:33.888";"771";"Ext";"2";"E8 07 00 00 00 00 00 00"
"00:27:34.555";"771";"Ext";"1";"96 07 00 00 00 00 00 00"
"00:27:34.555";"771";"Ext";"1";"96 07 00 00 00 00 00 00"
